Village,Water Body,Type,Date,
Abory Mbarma,Akonaye,Barriere,4/3/23,
Abory Mbarma,AVay Sawa,Entiere,4/23/23,
Abory Mbarma,Avay Sawa,Barriere,8/12/23,
Abory Mbarma,Avay Sawa,Entiere,7/15/23,
Abory Mbarma,Avay Sawa,Entiere,3/25/23,
Abory Mbarma,Avaya Yore,Entiere,3/22/23,
Abory Mbarma,Gouma Sara 1,Barriere,4/10/23,
Abory Mbarma,Gouma Sara 2,Entiere,4/8/23,
Abory Mbarma,Gouma Sara 2,Entiere,3/11/23,
Abory Mbarma,Gouma Sara 3,Entiere,4/8/23,
Abory Mbarma,Gouma Sara 3,Entiere,3/11/23,
Abory Mbarma,Moudargaday,Entiere,4/26/23,
Abory Mbarma,Vay Dagouma,Entiere,4/19/23,
Abory Mbarma,Vay Dagouma,Entiere,8/7/23,
Abory Mbarma,Vay Dagouma,Entiere,7/12/23,
Abory Mbarma,Vay Dagouma,Entiere,3/23/23,
Abory Mbarma,Vay Dagouma,Entiere,9/4/23,
Abory Mbarma,Vay Mahamat,Entiere,4/19/23,
Abory Mbarma,Vay Mahamat,Entiere,7/12/23,
Abory Mbarma,Vay Mahamat,Entiere,3/22/23,
Abory Mbarma,Vay Zougal,Entiere,4/19/23,
Abory Mbarma,Vay Zougal,Barriere,8/7/23,
Abory Mbarma,Vay Zougal,Entiere,7/12/23,
Abory Mbarma,Vay Zougal,Entiere,3/22/23,
Magara 1,Gomna Djoro,Entiere,4/9/23,
Magara 1,Gomna Hagassou 1,Entiere,4/19/23,
Magara 1,Gomna Hagassou 2,Entiere,4/19/23,
Magara 1,Gomna S1,Section,4/20/23,
Magara 1,Gomna S2,Section,4/20/23,
Magara 1,Houndouri,Entiere,4/6/23,
Magara 1,Houndouri,Entiere,3/9/23,
Magara 2,Avaye Gadou,Entiere,4/24/23,
Magara 2,Himagara,Entiere,4/25/23,
Magara 2,Magara,Entiere,4/30/23,
Al-Ardep,Acharganie,entiere,5/6/23,
Al-Ardep,Amdam 1,entiere,4/8/23,
Al-Ardep,Amdam 1,entiere,5/6/23,
Al-Ardep,Amdam 2,entiere,4/8/23,
Al-Ardep,Amkouolou 1,entiere,4/8/23,
Al-Ardep,Amkouolou 2,entiere,4/8/23,
Al-Ardep,Chari Djouhie,entiere,4/8/23,
Al-Ardep,Sakar,entiere,5/6/23,
Amsigane,Al-Abiate,entiere,5/7/23,
Amsigane,Amkoualou,entiere,4/9/23,
Amsigane,Amkoualou,entiere,5/7/23,
Amsigane,Aoyoduakine,entiere,4/9/23,
Amsigane,Djakane,entiere,4/9/23,
Aligarga Sara,Boutha Goni,,5/18/23,
Aligarga Sara,Carriere adoum melsem,Entier,8/13/19,
Aligarga Sara,Carriere djeranodji,Entier,8/13/19,
Aligarga Sara,Carrière gamalare,Entier,9/21/19,
Aligarga Sara,Gonne Kouh,entiere,2/25/23,
Aligarga Sara,Houmara,Section,4/17/23,
Aligarga Sara,Houmara,Entiere,6/11/23,
Aligarga Sara,Houmara,,5/29/23,
Aligarga Sara,Houmara,Entiere,5/14/23,
Aligarga Sara,Mare 1,Entier,9/9/19,
Aligarga Sara,Mare 2,Entier,9/9/19,
Aligarga Sara,Mare 3,Entier,9/16/19,
Aligarga Sara,Mare Goni,entiere,4/25/23,
Aligarga Sara,Mare Goni,Section,6/18/23,
Aligarga Sara,Mare Goni,entiere,3/2/23,
Aligarga Sara,Mare Goni,Section,3/28/23,
Aligarga Sara,Mare Goni,Entiere,5/25/23,
Aligarga Sara,Mare Goni S2,Section,6/18/23,
Aligarga Sara,Mare Goni S2,Section,3/16/23,
Aligarga Sara,Mare Goni S2,Section,3/28/23,
Aligarga Sara,Mare Goni S3,Section,6/28/23,
Aligarga Sara,Mare Goni S3,Section,3/16/23,
Aligarga Sara,Mare Goni S3,Section,3/28/23,
Aligarga Sara,Mare Kouh,entiere,4/13/23,
Aligarga Sara,Mare Kouh,barriere,2/16/23,
Aligarga Sara,Mare Kouh,Entiere,7/6/23,
Aligarga Sara,Mare Kouh,Entiere,6/8/23,
Aligarga Sara,Mare Kouh,Section,3/16/23,
Aligarga Sara,Mare Kouh,Entiere,5/11/23,
Aligarga Sara,Mare Kouh 2 S1,Section,4/16/23,
Aligarga Sara,Mare Kouh 2 S1,Section,7/9/23,
Aligarga Sara,Mare Kouh 2 S1,Section,6/11/23,
Aligarga Sara,Mare Kouh 2 S1,Section,3/17/23,
Aligarga Sara,Mare Kouh 2 S1,Section,5/14/23,
Aligarga Sara,Mare Kouh 2 S1,Section,5/21/23,
Aligarga Sara,Mare Kouh 2 S2,Section,4/18/23,
Aligarga Sara,Mare Kouh 2 S2,Section,7/10/23,
Aligarga Sara,Mare Kouh 2 S2,Section,6/13/23,
Aligarga Sara,Mare Kouh 2 S2,Section,3/21/23,
Aligarga Sara,Mare Kouh 2 S2,Section,5/16/23,
Aligarga Sara,Mare Kouh 2 S2,Section,5/21/23,
Aligarga Sara,Mare Kouh 2 S3,Section,4/18/23,
Aligarga Sara,Mare Kouh 2 S3,Section,7/10/23,
Aligarga Sara,Mare Kouh 2 S3,Section,6/13/23,
Aligarga Sara,Mare Kouh 2 S3,Section,3/21/23,
Aligarga Sara,Mare Kouh 2 S3,Section,5/16/23,
Aligarga Sara,Mare Kouh 2 S4,Section,7/25/23,
Aligarga Sara,Mare Liba S1,Section,4/4/23,
Aligarga Sara,Mare Liba S2,Section,4/4/23,
Aligarga Sara,Mare Liba S3,Section,4/6/23,
Aligarga Sara,Mare Oumara,Entiere,6/11/23,
Aligarga Sara,Mare reou-Gore,barriere,2/9/23,
Aligarga Sara,Mare reou-Gore,Entiere,3/9/23,
Aligarga Sara,Site Sao,Entiere,7/15/23,
Aligarga Sara,Site Sao,Entiere,6/17/23,
Aligarga Sara,Site Sao,,3/21/23,
Aligarga Sara,Site Sao,Entiere,5/20/23,
Aligarga Sara,Site Sao Quartier Massa,,5/18/23,
Aligarga Sara,Site Sao Quartier Massa,Entiere,5/5/23,
Ambissirigne,Bahkoya 1,Barriere,26-nov.-19,
Ambissirigne,Bahkoya 2,Point d’entrée,26-nov.-19,
Amhabile,Algiehess S1,,8/14/23,
Amhabile,Algiehess S1,,12/17/23,
Amhabile,Algiehess S1,,12/17/23,
Amhabile,Algiehess S1,,1/14/23,
Amhabile,Algiehess S1,,10/2/23,
Amhabile,Algiehess S2,,12/17/23,
Amhabile,Algiehess S2,,12/17/23,
Amhabile,Algiehess S2,,1/14/23,
Amhabile,Am frout S1,,12/18/23,
Amhabile,Am frout S1,,12/19/23,
Amhabile,Am frout S2,,12/18/23,
Amhabile,Am frout S2,,12/19/23,
Amhabile,Am frout S3,,12/18/23,
Amhabile,Amkidjerat,,10/4/23,
Amhabile,Amsoudra Section A,,8/13/23,
Amhabile,Amsoudra Section A,,11/26/23,
Amhabile,Amsoudra Section A,,10/3/23,
Amhabile,Amsoudra Section B,,11/26/23,
Amhabile,Amsoudra Section C,,11/26/23,
Amhabile,Djamamiss,,12/18/23,
Amhabile,Djamamiss,,1/20/23,
Amhabile,Djamamiss,,1/14/23,
Amhabile,Djamamiss,entiere,3/20/23,
Amhabile,Djamamiss 2,entiere,3/20/23,
Amhabile,Djamamiss 3,entiere,3/20/23,
Amhabile,Ragabatal-Hadjar S1,entiere,2/13/23,
Amhabile,Ragabatal-Hadjar S1,,1/15/23,
Amhabile,Ragabatal-Hadjar S2,entiere,2/13/23,
Amhabile,Ragabatal-Hadjar S2,,1/15/23,
Amhabile,Ragabatal-Hadjar S3,entiere,2/13/23,
Djodogo Centre,Kambnda,Barriere,4/5/23,
Djodogo Centre,Kamdowole,Barriere,4/5/23,
Djodogo Centre,Kignankgnoul S1,Barriere,4/4/23,
Djodogo Centre,Kignankgnoul S2,Barriere,4/4/23,
Djodogo Centre,Koutoum-ndo S1,Barriere,4/5/23,
Djodogo Centre,Koutoum-ndo S2,Barriere,4/6/23,
Djodogo Centre,Koyonguesse,Entiere,4/4/23,
Djodogo Centre,Roundou,Barriere,4/4/23,
Djodogo Centre,Soka S1,Barriere,4/3/23,
Djodogo Centre,Soka S2,Barriere,4/3/23,
Moussamere,Mononebe S1,,4/23/23,
Moussamere,Mononebe S1,,2/28/23,
Moussamere,Mononebe S1,Barriere,3/27/23,
Moussamere,Mononebe S2,,3/26/23,
Moussamere,Mononebe S3,,3/26/23,
Moussamere,Mononebe S4,Barriere,3/27/23,
Moussamere,Nemle 1,Barriere,4/22/23,
Moussamere,Nemle 1,,2/12/23,
Moussamere,Nemle 1,,1/18/23,
Moussamere,Nemle 1,Barriere,3/26/23,
Moussamere,Nemle 2,Barriere,4/22/23,
Moussamere,Nemle 2,,2/12/23,
Moussamere,Nemle 2,,1/18/23,
Moussamere,Nemle 2,Barriere,3/26/23,
Moussamere,Nemle 3,,1/18/23,
Moussamere,Nemle 3,,3/26/23,
Moussamere,Nemle 4,,1/18/23,
Moussamere,Nemle 5,,1/18/23,
Ndokoro Centre,Boss,,6/15/23,
Ndokoro Centre,Boss Ngala,,6/15/23,
Ndokoro Centre,Houroundo,,6/15/23,
Ndokoro Centre,Kamkan Kodwouyo S1,,6/15/23,
Ndokoro Centre,Kamkan Kodwouyo S2,,6/17/23,
Ndokoro Centre,Kamkan Kodwouyo S3,,6/17/23,
Ndokoro Centre,Kamkan Kodwouyo S4,,6/17/23,
Ndokoro Centre,Kamkan Kodwouyo S5,,6/17/23,
Ndokoro Centre,Kamkan Kodwouyo S5,,6/17/23,
Ndokoro Centre,Kamkan Mandan,,6/15/23,
Ndokoro Centre,Kamkan ManDjakaga S1,,6/17/23,
Ndokoro Centre,Kamkan ManDjakaga S2,,6/17/23,
Ndokoro Centre,Kamkan Ngatane,,6/15/23,
Ndokoro Centre,Malkougnon,,6/16/23,
Ndokoro Centre,Mignawou,,6/18/23,
Ndokoro Centre,Monodanga,,6/18/23,
Bailli Centre 1,Autre,Entier,3/1/19,
Bailli Centre 1,Chari P1,Point d’entrée,10/23/23,
Bailli Centre 1,Chari P2,Point d’entrée,10/23/23,
Bailli Centre 1,Chari P3,Point d’entrée,10/23/23,
Bailli Centre 1,Chari P4,Point d’entrée,10/23/23,
Bailli Centre 1,Ecole Pilote,Entiere,9/16/23,
Bailli Centre 1,Itel,Entier,10/23/23,
Bailli Centre 1,Job S1,Section,10/15/23,
Bailli Centre 1,Job S2,Section,10/15/23,
Bailli Centre 1,Job S3,Section,10/15/23,
Bailli Centre 1,Mare,Entier,10/2/23,
Bailli Centre 1,One,Entier,10/2/23,
Bailli Centre 2,Bahr Dick 10,Entiere,3/24/23,
Bailli Centre 2,Bahr Dick 11,Entiere,3/24/23,
Bailli Centre 2,Bahr Dick 11,Entiere,5/14/23,
Bailli Centre 2,Bahr Dick 12,Entiere,6/3/23,
Bailli Centre 2,Bahr Dick 12,Entiere,6/3/23,
Bailli Centre 2,Bahr Dick 12,Entiere,3/24/23,
Bailli Centre 2,Bahr Dick 13,Entiere,3/24/23,
Bailli Centre 2,Bahr Dick 13,Entiere,5/6/23,
Bailli Centre 2,Bahr Wordi 16,Entiere,4/10/23,
Bailli Centre 2,Bahr Wordi 16,Entiere,6/3/23,
Bailli Centre 2,Bahr Wordi 17,Entiere,4/8/23,
Bailli Centre 2,Bama Badi 10,Entiere,6/25/23,
Bailli Centre 2,Bama Badi 11,Entiere,6/25/23,
Bailli Centre 2,Bama Badi 12,Entiere,6/25/23,
Bailli Centre 2,Bama Badi 2,Entiere,4/12/23,
Bailli Centre 2,Bama Badi 2,Entiere,6/12/23,
Bailli Centre 2,Bama Badi 2,Entiere,3/20/23,
Bailli Centre 2,Bama Badi 2,Entiere,5/13/23,
Bailli Centre 2,Bama Badi 5,Entiere,6/25/23,
Bailli Centre 2,Bama Badi 5,Entiere,3/25/23,
Bailli Centre 2,Bama Badi 6,Entiere,4/12/23,
Bailli Centre 2,Bama Badi 6,Entiere,6/12/23,
Bailli Centre 2,Bama Badi 6,Entiere,3/20/23,
Bailli Centre 2,Bama Badi 6,Entiere,5/13/23,
Bailli Centre 2,Bama Badi 7 S1,Section,4/26/23,
Bailli Centre 2,Bama Badi 7 S1,Section,6/12/23,
Bailli Centre 2,Bama Badi 7 S1,Section,5/13/23,
Bailli Centre 2,Bama Badi 7 S2,Section,4/26/23,
Bailli Centre 2,Bama Badi 7 S2,Section,6/12/23,
Bailli Centre 2,Bama Badi 7 S2,Section,5/13/23,
Bailli Centre 2,Bama Badi 7 S3,Section,4/26/23,
Bailli Centre 2,Bama Badi 8,Entiere,5/13/23,
Bailli Centre 2,Bama Badi 9,Entiere,6/25/23,
Bailli Centre 2,Barh Wordi 1,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 18,Entiere,5/25/23,
Bailli Centre 2,Barh Wordi 2,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 20,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 20,Entiere,5/14/23,
Bailli Centre 2,Barh Wordi 21,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 22,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 3,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 4,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 4,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 5,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 5,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 6,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 6,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 7,Entiere,3/1/23,
Bailli Centre 2,Blama Badi S1,entiere,2/27/23,
Bailli Centre 2,Blama Badi S2,Barriere,2/27/23,
Bailli Centre 2,Blama Badi S3,entiere,2/27/23,
Bailli Centre 2,Blama Badi S4,entiere,2/27/23,
Bailli Centre 2,Blama Badi S5,entiere,2/27/23,
Bailli Centre 2,Dick 1,Barriere,2/20/23,
Bailli Centre 2,Dick 14,Entiere,4/8/23,
Bailli Centre 2,Dick 14,Entiere,5/6/23,
Bailli Centre 2,Dick 15,Entiere,4/8/23,
Bailli Centre 2,Dick 16,Entiere,4/10/23,
Bailli Centre 2,Dick 17 S1,Section,4/20/23,
Bailli Centre 2,Dick 17 S1,Barriere,6/11/23,
Bailli Centre 2,Dick 17 S1,Section,5/25/23,
Bailli Centre 2,Dick 17 S2,Section,4/20/23,
Bailli Centre 2,Dick 17 S2,Section,6/11/23,
Bailli Centre 2,Dick 17 S2,Section,5/25/23,
Bailli Centre 2,Dick 17 S3,Section,6/11/23,
Bailli Centre 2,Dick 18,Entiere,4/20/23,
Bailli Centre 2,Dick 19,Entiere,4/20/23,
Bailli Centre 2,Dick 2,Entiere,4/12/23,
Bailli Centre 2,Dick 2,entiere,2/20/23,
Bailli Centre 2,Dick 2,Entiere,6/12/23,
Bailli Centre 2,Dick 2,Entiere,3/20/23,
Bailli Centre 2,Dick 2,Entiere,5/13/23,
Bailli Centre 2,Dick 3,Entiere,3/20/23,
Bailli Centre 2,Dick 4,Entiere,4/12/23,
Bailli Centre 2,Dick 4,Entiere,6/12/23,
Bailli Centre 2,Dick 4,Entiere,3/20/23,
Bailli Centre 2,Dick 4,Entiere,5/13/23,
Bailli Centre 2,Dick 5,Entiere,3/20/23,
Bailli Centre 2,Wordi 1,Entiere,3/14/23,
Bailli Centre 2,Wordi 5,Entiere,3/14/23,
Bailli Centre 2,Wordi 8,Entiere,3/14/23,
Bailli Centre 2,Wordi 9,Entiere,3/14/23,
Brazzaville,Bouda Baouboussou,Entiere,4/3/23,
Brazzaville,Bouda Baouboussou,Entiere,4/30/23,
Brazzaville,Bouda Baouboussou,Entiere,6/23/23,
Brazzaville,Bouda Baouboussou,Entiere,3/7/23,
Brazzaville,Bouda Baouboussou,Entiere,5/27/23,
Brazzaville,Boudaarabi,Entiere,4/23/23,
Brazzaville,Boudaarabi,Entiere,6/17/23,
Brazzaville,Boudaarabi,Entiere,3/27/23,
Brazzaville,Boudaarabi,Entiere,5/21/23,
Brazzaville,Boudagaoukoudou,Entiere,4/10/23,
Brazzaville,Boudagaoukoudou,Entiere,3/14/23,
Brazzaville,Boudagueindi,entiere,3/1/23,
Brazzaville,Boudagueyile,Entiere,4/13/23,
Brazzaville,Boudagueyile,Entiere,3/18/23,
Brazzaville,Branche bamoundro 1,Entiere,4/10/23,
Brazzaville,Branche bamoundro 1,Entiere,6/3/23,
Brazzaville,Branche bamoundro 1,Entiere,6/29/23,
Brazzaville,Branche bamoundro 1,Entiere,5/7/23,
Brazzaville,Branche bamoundro 2,Entiere,6/3/23,
Brazzaville,Branche bamoundro 2,Entiere,6/29/23,
Brazzaville,Branche bamoundro 2,Entiere,5/7/23,
Brazzaville,Branche bamoundro 3,Entiere,6/3/23,
Brazzaville,Branche bamoundro 3,Entiere,6/29/23,
Brazzaville,Branche bamoundro 3,Entiere,5/7/23,
Brazzaville,Branche bamoundro 4,Entiere,6/3/23,
Brazzaville,Branche bamoundro 4,Entiere,6/29/23,
Brazzaville,Branche bamoundro 4,Entiere,5/7/23,
